Ticker,Name,Sector,Score,PE,Return_1Y,Updated_On
RELIANCE.NS,Reliance Industries,Energy,4.0,29.689138,-4.27,2025-07-07 00:21:33
TCS.NS,Tata Consultancy Services,Technology,4.0,25.510965,-11.8,2025-07-07 00:21:34
HDFCBANK.NS,HDFC Bank,Financial Services,5.0,21.58938,22.98,2025-07-07 00:21:36
INFY.NS,Infosys,Technology,4.5,25.171936,1.27,2025-07-07 00:21:38
ICICIBANK.NS,ICICI Bank,Financial Services,5.0,20.2868,17.83,2025-07-07 00:21:40
HINDUNILVR.NS,Hindustan Unilever,FMCG,3.5,51.593212,-7.94,2025-07-07 00:21:42
SBIN.NS,State Bank of India,Financial Services,4.5,9.330075,-3.28,2025-07-07 00:21:44
BHARTIARTL.NS,Bharti Airtel,Telecom,4.0,35.98966,41.34,2025-07-07 00:21:46
KOTAKBANK.NS,Kotak Mahindra Bank,Financial Services,5.0,19.122004,15.05,2025-07-07 00:21:47
ITC.NS,ITC,FMCG,4.0,26.186548,-3.79,2025-07-07 00:21:50
LT.NS,Larsen & Toubro,Infrastructure,3.5,32.897144,-0.11,2025-07-07 00:21:51
AXISBANK.NS,Axis Bank,Financial Services,4.5,13.028825,-8.41,2025-07-07 00:21:53
BAJFINANCE.NS,Bajaj Finance,Financial Services,4.0,34.513603,30.98,2025-07-07 00:21:55
HCLTECH.NS,HCL Technologies,Technology,4.5,26.954554,15.86,2025-07-07 00:21:56
ASIANPAINT.NS,Asian Paints,Consumer Durables,3.5,63.394257,-15.44,2025-07-07 00:21:58
MARUTI.NS,Maruti Suzuki,Automobile,4.5,27.399368,6.17,2025-07-07 00:22:00
SUNPHARMA.NS,Sun Pharmaceutical,Healthcare,4.0,36.752193,8.7,2025-07-07 00:22:01
ULTRACEMCO.NS,UltraTech Cement,Construction,4.0,60.970257,8.61,2025-07-07 00:22:03
WIPRO.NS,Wipro,Technology,5.0,21.50439,1.78,2025-07-07 00:22:05
POWERGRID.NS,Power Grid Corporation,Energy,4.5,17.958563,-10.37,2025-07-07 00:22:06
TITAN.NS,Titan Company,Consumer Durables,4.0,97.95267,16.81,2025-07-07 00:22:08
BAJAJFINSV.NS,Bajaj Finserv,Financial Services,4.0,36.187103,27.09,2025-07-07 00:22:09
HDFCLIFE.NS,HDFC Life Insurance,Financial Services,4.0,93.39881,26.79,2025-07-07 00:22:11
NTPC.NS,NTPC,Energy,4.5,16.515003,-9.16,2025-07-07 00:22:12
TATASTEEL.NS,Tata Steel,Metals,3.5,59.52555,-3.17,2025-07-07 00:22:14
GRASIM.NS,Grasim Industries,Construction,4.0,50.448162,2.72,2025-07-07 00:22:16
JSWSTEEL.NS,JSW Steel,Metals,4.0,72.373,11.75,2025-07-07 00:22:18
TECHM.NS,Tech Mahindra,Technology,4.0,34.594482,18.02,2025-07-07 00:22:19
ONGC.NS,Oil and Natural Gas Corporation,Energy,4.5,8.516846,-13.67,2025-07-07 00:22:21
CIPLA.NS,Cipla,Healthcare,5.0,23.183073,2.83,2025-07-07 00:22:23
ADANIPORTS.NS,Adani Ports,Infrastructure,4.0,27.722677,-2.98,2025-07-07 00:22:24
HDFCAMC.NS,HDFC Asset Management,Financial Services,4.0,43.804462,23.3,2025-07-07 00:22:26
DIVISLAB.NS,Divis Laboratories,Healthcare,4.0,84.19515,55.66,2025-07-07 00:22:28
IOC.NS,Indian Oil Corporation,Energy,4.5,15.37994,-7.12,2025-07-07 00:22:29
BAJAJ-AUTO.NS,Bajaj Auto,Automobile,3.5,32.14245,-9.26,2025-07-07 00:22:31
BRITANNIA.NS,Britannia Industries,FMCG,4.0,63.679504,4.99,2025-07-07 00:22:33
EICHERMOT.NS,Eicher Motors,Automobile,4.0,32.658924,19.71,2025-07-07 00:22:34
HEROMOTOCO.NS,Hero MotoCorp,Automobile,4.5,19.84809,-18.45,2025-07-07 00:22:36
TATAMOTORS.NS,Tata Motors,Automobile,4.5,10.5878725,-30.68,2025-07-07 00:22:38
ADANIGREEN.NS,Adani Green Energy,Energy,3.5,119.24731,-43.25,2025-07-07 00:22:40
VEDL.NS,Vedanta,Metals,5.0,11.875808,7.57,2025-07-07 00:22:42
DLF.NS,DLF,Real Estate,4.0,47.27891,0.61,2025-07-07 00:22:44
M&M.NS,Mahindra & Mahindra,Automobile,4.5,27.46699,11.8,2025-07-07 00:22:46
TATACONSUM.NS,Tata Consumer Products,FMCG,3.5,83.295105,-4.61,2025-07-07 00:22:48
GAIL.NS,GAIL India,Energy,4.5,10.20074,-12.91,2025-07-07 00:22:49
INDUSINDBK.NS,IndusInd Bank,Financial Services,4.0,25.854767,-40.46,2025-07-07 00:22:51
PIDILITIND.NS,Pidilite Industries,Consumer Durables,4.0,75.96901,0.87,2025-07-07 00:22:53
SBILIFE.NS,SBI Life Insurance,Financial Services,4.0,74.47761,19.02,2025-07-07 00:22:55
ICICIPRULI.NS,ICICI Prudential Life,Financial Services,4.0,79.914,2.43,2025-07-07 00:22:57
