ticker	name	sector
360ONE.NS	360 ONE WAM Ltd.	Financial Services
3MINDIA.NS	3M India Ltd.	Diversified
ABB.NS	ABB India Ltd.	Capital Goods
ACC.NS	ACC Ltd.	Construction Materials
ACMESOLAR.NS	ACME Solar Holdings Ltd.	Power
AIAENG.NS	AIA Engineering Ltd.	Capital Goods
APLAPOLLO.NS	APL Apollo Tubes Ltd.	Capital Goods
AUBANK.NS	AU Small Finance Bank Ltd.	Financial Services
AWL.NS	AWL Agri Business Ltd.	Fast Moving Consumer Goods
AADHARHFC.NS	Aadhar Housing Finance Ltd.	Financial Services
AARTIIND.NS	Aarti Industries Ltd.	Chemicals
AAVAS.NS	Aavas Financiers Ltd.	Financial Services
ABBOTINDIA.NS	Abbott India Ltd.	Healthcare
ACE.NS	Action Construction Equipment Ltd.	Capital Goods
ADANIENSOL.NS	Adani Energy Solutions Ltd.	Power
ADANIENT.NS	Adani Enterprises Ltd.	Metals & Mining
ADANIGREEN.NS	Adani Green Energy Ltd.	Power
ADANIPORTS.NS	Adani Ports and Special Economic Zone Ltd.	Services
ADANIPOWER.NS	Adani Power Ltd.	Power
ATGL.NS	Adani Total Gas Ltd.	Oil Gas & Consumable Fuels
ABCAPITAL.NS	Aditya Birla Capital Ltd.	Financial Services
ABFRL.NS	Aditya Birla Fashion and Retail Ltd.	Consumer Services
ABREL.NS	Aditya Birla Real Estate Ltd.	Forest Materials
ABSLAMC.NS	Aditya Birla Sun Life AMC Ltd.	Financial Services
AEGISLOG.NS	Aegis Logistics Ltd.	Oil Gas & Consumable Fuels
AFCONS.NS	Afcons Infrastructure Ltd.	Construction
AFFLE.NS	Affle 3i Ltd.	Information Technology
AJANTPHARM.NS	Ajanta Pharmaceuticals Ltd.	Healthcare
AKUMS.NS	Akums Drugs and Pharmaceuticals Ltd.	Healthcare
APLLTD.NS	Alembic Pharmaceuticals Ltd.	Healthcare
ALIVUS.NS	Alivus Life Sciences Ltd.	Healthcare
ALKEM.NS	Alkem Laboratories Ltd.	Healthcare
ALKYLAMINE.NS	Alkyl Amines Chemicals Ltd.	Chemicals
ALOKINDS.NS	Alok Industries Ltd.	Textiles
ARE&M.NS	Amara Raja Energy & Mobility Ltd.	Automobile and Auto Components
AMBER.NS	Amber Enterprises India Ltd.	Consumer Durables
AMBUJACEM.NS	Ambuja Cements Ltd.	Construction Materials
ANANDRATHI.NS	Anand Rathi Wealth Ltd.	Financial Services
ANANTRAJ.NS	Anant Raj Ltd.	Realty
ANGELONE.NS	Angel One Ltd.	Financial Services
APARINDS.NS	Apar Industries Ltd.	Capital Goods
APOLLOHOSP.NS	Apollo Hospitals Enterprise Ltd.	Healthcare
APOLLOTYRE.NS	Apollo Tyres Ltd.	Automobile and Auto Components
APTUS.NS	Aptus Value Housing Finance India Ltd.	Financial Services
ASAHIINDIA.NS	Asahi India Glass Ltd.	Automobile and Auto Components
ASHOKLEY.NS	Ashok Leyland Ltd.	Capital Goods
ASIANPAINT.NS	Asian Paints Ltd.	Consumer Durables
ASTERDM.NS	Aster DM Healthcare Ltd.	Healthcare
ASTRAZEN.NS	AstraZenca Pharma India Ltd.	Healthcare
ASTRAL.NS	Astral Ltd.	Capital Goods
ATUL.NS	Atul Ltd.	Chemicals
AUROPHARMA.NS	Aurobindo Pharma Ltd.	Healthcare
AIIL.NS	Authum Investment & Infrastructure Ltd.	Financial Services
DMART.NS	Avenue Supermarts Ltd.	Consumer Services
AXISBANK.NS	Axis Bank Ltd.	Financial Services
BASF.NS	BASF India Ltd.	Chemicals
BEML.NS	BEML Ltd.	Capital Goods
BLS.NS	BLS International Services Ltd.	Consumer Services
BSE.NS	BSE Ltd.	Financial Services
BAJAJ-AUTO.NS	Bajaj Auto Ltd.	Automobile and Auto Components
BAJFINANCE.NS	Bajaj Finance Ltd.	Financial Services
BAJAJFINSV.NS	Bajaj Finserv Ltd.	Financial Services
BAJAJHLDNG.NS	Bajaj Holdings & Investment Ltd.	Financial Services
BAJAJHFL.NS	Bajaj Housing Finance Ltd.	Financial Services
BALKRISIND.NS	Balkrishna Industries Ltd.	Automobile and Auto Components
BALRAMCHIN.NS	Balrampur Chini Mills Ltd.	Fast Moving Consumer Goods
BANDHANBNK.NS	Bandhan Bank Ltd.	Financial Services
BANKBARODA.NS	Bank of Baroda	Financial Services
BANKINDIA.NS	Bank of India	Financial Services
MAHABANK.NS	Bank of Maharashtra	Financial Services
BATAINDIA.NS	Bata India Ltd.	Consumer Durables
BAYERCROP.NS	Bayer Cropscience Ltd.	Chemicals
BERGEPAINT.NS	Berger Paints India Ltd.	Consumer Durables
BDL.NS	Bharat Dynamics Ltd.	Capital Goods
BEL.NS	Bharat Electronics Ltd.	Capital Goods
BHARATFORG.NS	Bharat Forge Ltd.	Automobile and Auto Components
BHEL.NS	Bharat Heavy Electricals Ltd.	Capital Goods
BPCL.NS	Bharat Petroleum Corporation Ltd.	Oil Gas & Consumable Fuels
BHARTIARTL.NS	Bharti Airtel Ltd.	Telecommunication
BHARTIHEXA.NS	Bharti Hexacom Ltd.	Telecommunication
BIKAJI.NS	Bikaji Foods International Ltd.	Fast Moving Consumer Goods
BIOCON.NS	Biocon Ltd.	Healthcare
BSOFT.NS	Birlasoft Ltd.	Information Technology
BLUEDART.NS	Blue Dart Express Ltd.	Services
BLUESTARCO.NS	Blue Star Ltd.	Consumer Durables
BBTC.NS	Bombay Burmah Trading Corporation Ltd.	Fast Moving Consumer Goods
BOSCHLTD.NS	Bosch Ltd.	Automobile and Auto Components
FIRSTCRY.NS	Brainbees Solutions Ltd.	Consumer Services
BRIGADE.NS	Brigade Enterprises Ltd.	Realty
BRITANNIA.NS	Britannia Industries Ltd.	Fast Moving Consumer Goods
MAPMYINDIA.NS	C.E. Info Systems Ltd.	Information Technology
CCL.NS	CCL Products (I) Ltd.	Fast Moving Consumer Goods
CESC.NS	CESC Ltd.	Power
CGPOWER.NS	CG Power and Industrial Solutions Ltd.	Capital Goods
CRISIL.NS	CRISIL Ltd.	Financial Services
CAMPUS.NS	Campus Activewear Ltd.	Consumer Durables
CANFINHOME.NS	Can Fin Homes Ltd.	Financial Services
CANBK.NS	Canara Bank	Financial Services
CAPLIPOINT.NS	Caplin Point Laboratories Ltd.	Healthcare
CGCL.NS	Capri Global Capital Ltd.	Financial Services
CARBORUNIV.NS	Carborundum Universal Ltd.	Capital Goods
CASTROLIND.NS	Castrol India Ltd.	Oil Gas & Consumable Fuels
CEATLTD.NS	Ceat Ltd.	Automobile and Auto Components
CENTRALBK.NS	Central Bank of India	Financial Services
CDSL.NS	Central Depository Services (India) Ltd.	Financial Services
CENTURYPLY.NS	Century Plyboards (India) Ltd.	Consumer Durables
CERA.NS	Cera Sanitaryware Ltd	Consumer Durables
CHALET.NS	Chalet Hotels Ltd.	Consumer Services
CHAMBLFERT.NS	Chambal Fertilizers & Chemicals Ltd.	Chemicals
CHENNPETRO.NS	Chennai Petroleum Corporation Ltd.	Oil Gas & Consumable Fuels
CHOLAHLDNG.NS	Cholamandalam Financial Holdings Ltd.	Financial Services
CHOLAFIN.NS	Cholamandalam Investment and Finance Company Ltd.	Financial Services
CIPLA.NS	Cipla Ltd.	Healthcare
CUB.NS	City Union Bank Ltd.	Financial Services
CLEAN.NS	Clean Science and Technology Ltd.	Chemicals
COALINDIA.NS	Coal India Ltd.	Oil Gas & Consumable Fuels
COCHINSHIP.NS	Cochin Shipyard Ltd.	Capital Goods
COFORGE.NS	Coforge Ltd.	Information Technology
COHANCE.NS	Cohance Lifesciences Ltd.	Healthcare
COLPAL.NS	Colgate Palmolive (India) Ltd.	Fast Moving Consumer Goods
CAMS.NS	Computer Age Management Services Ltd.	Financial Services
CONCORDBIO.NS	Concord Biotech Ltd.	Healthcare
CONCOR.NS	Container Corporation of India Ltd.	Services
COROMANDEL.NS	Coromandel International Ltd.	Chemicals
CRAFTSMAN.NS	Craftsman Automation Ltd.	Automobile and Auto Components
CREDITACC.NS	CreditAccess Grameen Ltd.	Financial Services
CROMPTON.NS	Crompton Greaves Consumer Electricals Ltd.	Consumer Durables
CUMMINSIND.NS	Cummins India Ltd.	Capital Goods
CYIENT.NS	Cyient Ltd.	Information Technology
DCMSHRIRAM.NS	DCM Shriram Ltd.	Diversified
DLF.NS	DLF Ltd.	Realty
DOMS.NS	DOMS Industries Ltd.	Fast Moving Consumer Goods
DABUR.NS	Dabur India Ltd.	Fast Moving Consumer Goods
DALBHARAT.NS	Dalmia Bharat Ltd.	Construction Materials
DATAPATTNS.NS	Data Patterns (India) Ltd.	Capital Goods
DEEPAKFERT.NS	Deepak Fertilisers & Petrochemicals Corp. Ltd.	Chemicals
DEEPAKNTR.NS	Deepak Nitrite Ltd.	Chemicals
DELHIVERY.NS	Delhivery Ltd.	Services
DEVYANI.NS	Devyani International Ltd.	Consumer Services
DIVISLAB.NS	Divi's Laboratories Ltd.	Healthcare
DIXON.NS	Dixon Technologies (India) Ltd.	Consumer Durables
LALPATHLAB.NS	Dr. Lal Path Labs Ltd.	Healthcare
DRREDDY.NS	Dr. Reddy's Laboratories Ltd.	Healthcare
EIDPARRY.NS	E.I.D. Parry (India) Ltd.	Fast Moving Consumer Goods
EIHOTEL.NS	EIH Ltd.	Consumer Services
EICHERMOT.NS	Eicher Motors Ltd.	Automobile and Auto Components
ELECON.NS	Elecon Engineering Co. Ltd.	Capital Goods
ELGIEQUIP.NS	Elgi Equipments Ltd.	Capital Goods
EMAMILTD.NS	Emami Ltd.	Fast Moving Consumer Goods
EMCURE.NS	Emcure Pharmaceuticals Ltd.	Healthcare
ENDURANCE.NS	Endurance Technologies Ltd.	Automobile and Auto Components
ENGINERSIN.NS	Engineers India Ltd.	Construction
ERIS.NS	Eris Lifesciences Ltd.	Healthcare
ESCORTS.NS	Escorts Kubota Ltd.	Capital Goods
ETERNAL.NS	Eternal Ltd.	Consumer Services
EXIDEIND.NS	Exide Industries Ltd.	Automobile and Auto Components
NYKAA.NS	FSN E-Commerce Ventures Ltd.	Consumer Services
FEDERALBNK.NS	Federal Bank Ltd.	Financial Services
FACT.NS	Fertilisers and Chemicals Travancore Ltd.	Chemicals
FINCABLES.NS	Finolex Cables Ltd.	Capital Goods
FINPIPE.NS	Finolex Industries Ltd.	Capital Goods
FSL.NS	Firstsource Solutions Ltd.	Services
FIVESTAR.NS	Five-Star Business Finance Ltd.	Financial Services
FORTIS.NS	Fortis Healthcare Ltd.	Healthcare
GAIL.NS	GAIL (India) Ltd.	Oil Gas & Consumable Fuels
